iter	Passed	Remaining
0	0	759
1	1	660
2	1	638
3	2	639
4	3	643
5	3	653
6	4	624
7	5	636
8	5	643
9	6	639
10	7	658
11	8	665
12	8	643
13	9	644
14	9	629
15	10	638
16	11	641
17	11	640
18	12	641
19	13	640
20	13	636
21	14	634
22	14	627
23	15	629
24	16	633
25	16	626
26	17	624
27	17	620
28	18	618
29	19	615
30	19	613
31	19	602
32	20	602
33	21	603
34	22	606
35	22	603
36	23	604
37	23	604
38	24	602
39	25	600
40	25	597
41	26	595
42	26	589
43	27	590
44	27	592
45	28	591
46	29	590
47	29	590
48	30	588
49	30	588
50	31	587
51	32	585
52	32	587
53	33	588
54	34	589
55	35	591
56	35	589
57	36	588
58	36	587
59	37	585
60	37	584
61	38	583
62	39	589
63	40	589
64	40	589
65	41	589
66	42	588
67	42	586
68	43	585
69	43	584
70	44	583
71	45	584
72	46	586
73	46	586
74	47	585
75	48	585
76	48	580
77	48	576
78	49	576
79	50	575
80	50	576
81	51	578
82	52	578
83	52	576
84	53	576
85	54	576
86	54	574
87	55	570
88	55	569
89	56	568
90	56	568
91	57	568
92	57	565
93	58	565
94	59	564
95	59	563
96	60	561
97	60	560
98	61	559
99	61	556
100	62	557
101	63	557
102	64	557
103	64	554
104	64	551
105	65	550
106	66	551
107	66	548
108	66	546
109	67	546
110	68	548
111	69	549
112	69	548
113	70	548
114	71	548
115	71	548
116	72	547
117	73	546
118	73	546
119	74	543
120	74	543
121	75	543
122	76	543
123	76	542
124	77	541
125	77	540
126	78	539
127	79	538
128	79	538
129	80	537
130	81	537
131	81	535
132	82	535
133	82	534
134	83	533
135	83	532
136	84	532
137	84	530
138	85	530
139	86	531
140	86	529
141	87	529
142	88	529
143	88	527
144	89	526
145	89	526
146	90	524
147	91	524
148	91	523
149	92	524
150	93	524
151	93	523
152	94	522
153	94	521
154	95	519
155	95	518
156	96	518
157	97	518
158	98	518
159	98	517
160	99	517
161	99	517
162	100	516
163	101	515
164	101	515
165	102	514
166	103	514
167	103	514
168	104	513
169	105	512
170	105	512
171	106	511
172	106	510
173	107	508
174	107	508
175	108	507
176	109	508
177	109	507
178	110	507
179	112	510
180	113	512
181	114	512
